benchmark,run,result
is-decreasing,baseline,127
is-decreasing,dce,127
is-decreasing,lvn,127
sum-divisors,baseline,159
sum-divisors,dce,159
sum-divisors,lvn,159
palindrome,baseline,298
palindrome,dce,298
palindrome,lvn,298
relative-primes,baseline,1923
relative-primes,dce,1914
relative-primes,lvn,1923
birthday,baseline,484
birthday,dce,483
birthday,lvn,timeout
dot-product,baseline,88
dot-product,dce,88
dot-product,lvn,incorrect
orders,baseline,5352
orders,dce,5352
orders,lvn,5352
binary-fmt,baseline,100
binary-fmt,dce,100
binary-fmt,lvn,100
euclid,baseline,563
euclid,dce,562
euclid,lvn,563
fact,baseline,229
fact,dce,228
fact,lvn,229
fitsinside,baseline,10
fitsinside,dce,10
fitsinside,lvn,10
digital-root,baseline,247
digital-root,dce,247
digital-root,lvn,247
bitshift,baseline,167
bitshift,dce,167
bitshift,lvn,167
totient,baseline,253
totient,dce,253
totient,lvn,253
reverse,baseline,46
reverse,dce,46
reverse,lvn,46
up-arrow,baseline,252
up-arrow,dce,252
up-arrow,lvn,timeout
hanoi,baseline,99
hanoi,dce,99
hanoi,lvn,99
recfact,baseline,104
recfact,dce,103
recfact,lvn,104
lcm,baseline,2326
lcm,dce,2326
lcm,lvn,2326
quadratic,baseline,785
quadratic,dce,783
quadratic,lvn,785
pythagorean_triple,baseline,61518
pythagorean_triple,dce,61518
pythagorean_triple,lvn,incorrect
sum-check,baseline,5018
sum-check,dce,5018
sum-check,lvn,timeout
sum-sq-diff,baseline,3038
sum-sq-diff,dce,3036
sum-sq-diff,lvn,3038
factors,baseline,72
factors,dce,72
factors,lvn,72
primes-between,baseline,574100
primes-between,dce,574100
primes-between,lvn,87530
perfect,baseline,232
perfect,dce,232
perfect,lvn,232
armstrong,baseline,133
armstrong,dce,130
armstrong,lvn,133
bitwise-ops,baseline,1690
bitwise-ops,dce,1689
bitwise-ops,lvn,1690
collatz,baseline,169
collatz,dce,169
collatz,lvn,169
loopfact,baseline,116
loopfact,dce,115
loopfact,lvn,116
fizz-buzz,baseline,3652
fizz-buzz,dce,3552
fizz-buzz,lvn,timeout
catalan,baseline,659378
catalan,dce,659378
catalan,lvn,incorrect
rectangles-area-difference,baseline,14
rectangles-area-difference,dce,14
rectangles-area-difference,lvn,14
ackermann,baseline,1464231
ackermann,dce,1464231
ackermann,lvn,1464231
check-primes,baseline,8468
check-primes,dce,8419
check-primes,lvn,8468
gcd,baseline,46
gcd,dce,46
gcd,lvn,46
pascals-row,baseline,146
pascals-row,dce,139
pascals-row,lvn,146
sum-bits,baseline,73
sum-bits,dce,73
sum-bits,lvn,incorrect
mod_inv,baseline,558
mod_inv,dce,556
mod_inv,lvn,558